element,central,intergrade,extragrade,intragrade,derivation,connotation,simplified,link
calcidic,FALSE,,,TRUE,calcids,presence of calcic horizon and low available moisture during growing season,,
cambidic,FALSE,,,TRUE,cambids,aridic soil moisture regime with duripan that is strongly cemented or less cemented,,
duridic,FALSE,,,TRUE,durids,like durids,,
fluventic,FALSE,,,TRUE,fluvents,low slope and irregular decrease in geologically-recent organic-carbon content,,
folistic,FALSE,,,TRUE,folists,presence of folistic epipedon,,
grossic,FALSE,,,FALSE,thick,fluid materials (high n value) in all horizons from 20 to 100 cm,,
haplargidic,FALSE,,,TRUE,haplargids,like haplargids,,
haplocalcidic,FALSE,,,TRUE,haplocalcids,like haplocalcids,,
haploduridic,FALSE,,,TRUE,haplodurids,aridic soil moisture regime with duripan that is less than very strongly cemented ,,
haploplaggic,FALSE,,,FALSE,,surface horizon >25cm thick meets all of the requirements for a plaggen epipedon,,
haploxeralfic,FALSE,,,TRUE,haploxeralfs,aridic soil moisture regime borders on xeric with duripan that is less than very strongly cemented,,
haploxerandic,FALSE,,,TRUE,haploxerands,xeric soil moisture regime with low bulk density and short range order minerals,,
haploxerollic,FALSE,,,TRUE,haploxerolls,no argillic horizon above duripan,,
haplustandic,FALSE,,,TRUE,haplustands,like haploxerolls,,
histic,FALSE,,,TRUE,histosols,have a histic epipedon or buried layer of organic soil materials,,
humaqueptic,FALSE,,,TRUE,humaquepts,color and base saturation of umbric epipedon in upper 15 cm,,
hydraquentic,FALSE,,,TRUE,hydraquents,fluid materials (high n value) near surface,,
